SET NUMBER|CARD NUMBER|NAME|RARITY|THRESHOLD|TYPE|SUB TYPE|FACTION|SOCKET COUNT|COST|ATK|HEALTH|TEXT|FLAVOR|RESTRICTION|ARTIST|ENTERS PLAY EXHAUSTED|EQUIPMENT STRING|CURRENT RESOURCES ADDED|MAX RESOURCES ADDED|UUID
Armies of Myth|0|Bryson Maplewood|Champion||Champion|Human Ranger|Aria|0||0|0|[BASIC] [DIAMOND][RUBY], If you control more troops than each opposing champion: [4] -> Target troop you control gets +1[ATK]/+1[DEF] and Swiftstrike.||||0||0|0|67987061-6ac9-49b5-8187-6a9908d390f3
Armies of Myth|0|Cressida|Champion||Champion|Elf Ranger|Aria|0||0|0|[BASIC] [RUBY][WILD]: [3] -> Gain [L1][R0].||||0||0|0|664bda04-61ad-41b4-a82e-8ed5dfddda1c
Armies of Myth|0|Zorzym of Korru|Champion||Champion|Vennen Cleric|Underworld|0||0|0|[BASIC] [BLOOD][SAPPHIRE]: [3] -> Create three Spiderling Eggs for each opposing champion and put them into their deck.||||0||0|0|ff2fba06-b018-4b04-9051-011d36fbb11d
Armies of Myth|0|Boris Blastforge|Champion||Champion|Dwarf Rogue|Underworld|0||0|0|[BASIC] [SAPPHIRE][SAPPHIRE]: [2] -> Target troop gets Flight this turn.||||0||0|0|0dc8c3f7-1af8-41fb-873a-7f33b0858ae7
Armies of Myth|0|Dreaming Fox|Champion||Champion|Coyotle Mage|Aria|0||0|0|[BASIC] [SAPPHIRE]: [7] -> Create an Oracle Song and put it into your hand.||||0||0|0|2b9382ab-07ca-4c98-9694-c52f970c79d7
Armies of Myth|0|Knightsbane Ovo|Champion||Champion|Necrotic Warrior|Underworld|0||0|0|[BASIC] [DIAMOND]: [3] -> Revert target troop you control.||||0||0|0|c4dae3e4-2fb7-417f-9485-99edb6e6972d
Armies of Myth|0|Sister Anastasia|Champion||Champion|Human Cleric|Aria|0||0|0|[BASIC] [DIAMOND][DIAMOND]: [5] -> Gain 1 health for each troop you control.||||0||0|0|83d874f8-ddb3-4546-b1db-8de0e2e5e29a
Armies of Myth|0|Savvas|Champion||Champion|Necrotic Mage|Underworld|0||0|0|[BASIC] [RUBY]: [5] -> Create a Scorch and put it into your hand.||||0||0|0|b7b13528-3400-4bf1-af98-c0e3f837f270
Armies of Myth|0|Urgnock|Champion||Champion|Orc Warrior|Aria|0||0|0|[BASIC] [RUBY][RUBY]: [2] -> Target troop gets +1[ATK].||||0||0|0|40a03afd-faaa-4680-9355-013c4c9e9837
AI Only Cards|0|Lady Valerie|Epic|2 Wild|Troop|Faerie|None|0|4|2|4|Flight    Deploy - Summon two Battle Faeries.|Born to fey royalty, Lady Valerie's kindness is only exceeded by her ferocity when protecting the ones she loves.|Unique|Robb Mommaerts|0||0|0|5008c500-219b-4382-87cb-e6e3d8c153aa
AI Only Cards|0|Dreamer's Vision|Epic|2 Sapphire|Basic Action||None|0|2|0|0|Create ESC:2 random cards and put them into your hand. Put this into your deck. Escalate: 2 all your #SELF#s in all zones.|For those willing to dream, nothing is out of reach.||Robb Mommaerts|0||0|0|ca015ce3-2051-4bac-b68e-14cfba049c7a
AI Only Cards|0|Battle Faerie|Non-Collectible|1 Wild|Troop|Faerie|None|0|1|2|1|Flight, Defensive|Small in stature, but possessed of enormous savagery.||Robb Mommaerts|0||0|0|fd5e7a1d-4a61-419a-b9b2-3d38c564e50c
AI Only Cards|0|To The King!|Epic|1 Diamond 1 Sapphire|Basic Action||None|0|3|0|0|This can't be interrupted.    Draw two cards.    Summon a random Human.|||Michael Komarck|0||0|0|ac0ede62-6274-4610-8ea2-238aa39d5d54
AI Only Cards|0|Strength in Numbers|Epic|1 Wild 1 Blood|Basic Action||None|0|3|0|0|This can't be interrupted.    Draw two cards.    Shin'hare you control get +1[ATK]/+1[DEF].|||Zoltan Boros|0||0|0|a6aff0f0-34ed-4db7-a783-8ac2da7c1175
AI Only Cards|0|Relentless Assault|Epic|1 Ruby 1 Blood|Basic Action||None|0|3|0|0|This can't be interrupted.    Draw two cards.     Gain [L1][R0] for each Orc in your hand.|||Filip Acovic|0||0|0|080b135c-bdc4-4362-858a-6fc7dd9cfc49
AI Only Cards|0|Word of Xentoth|Epic|1 Sapphire 1 Blood|Basic Action||None|0|3|0|0|This can't be interrupted.    Draw two cards.    Bury the top ten cards of each opposing champion's deck.|||Jakub Kasper|0||0|0|ab8ba054-f344-49d4-bc26-9a8dced76194
AI Only Cards|0|Ingenuity|Epic|1 Ruby 1 Sapphire|Basic Action||None|0|3|0|0|This can't be interrupted.    Draw two cards.    Summon a random Plans.    Summon two Worker Bots.|||Pablo Fernandez|0||0|0|a996df95-0205-45c1-b5cb-5f1c794a4514
AI Only Cards|0|Boundless Imagination|Epic|1 Diamond 1 Wild 1 Ruby 1 Sapphire 1 Blood|Basic Action||None|0|3|0|0|This can't be interrupted.    Draw two cards.    Each card transforms into a random other card with the same type.|||Robb Mommaerts|0||0|0|c1739391-0cff-4493-bb42-9d6077ba3838
AI Only Cards|0|Broodlord Egg|Non-Collectible||Artifact|Egg|None|0|0|0|0|When this enters your hand, put the top card of your deck into your hand. Transform this into a Terrorantula. Put it into play under the arena champion's control.    When this enters your crypt, put the top card of your deck into your crypt. Transform this into a Terrorantula. Put it into play under the arena champion's control.|||Hugo Richard|0||0|0|d19302eb-b7c1-4f5d-96b2-c10aeb92c44a
Armies of Myth|0|Mightsinger Alyndra|Champion||Champion|Elf Cleric|Aria|0||0|0|[BASIC] [WILD][WILD]: [5] -> Create a Gigantisaur and put it into your hand.||||0||0|0|52cbd7c6-1b25-42c1-9350-0f2cf72729c9
AI Only Cards|0|Conflagrate|Epic|1 Ruby|Basic Action||None|0|3|0|0|Add a burning counter to target champion. Deal 1 damage to each troop that champion controls for each burning counter on opposing champions.|||Anton Kokarev|0||0|0|d0728f02-6179-4bb7-8e21-9906dcbf0208
AI Only Cards|0|Rose Knight's Protection|Promo||Basic Action||None|0|0|0|0|Summon three Rose Knight Ghosts.|||Jon Buran|0||0|0|cdba39cf-6024-49b2-83d2-d86dc25349fc
AZ2|0|Killarvae|Rare|1 Blood|Troop|Insect|None|0|2|2|1|Lethal    When this deals damage to a champion, that champion becomes Toxified.    When this deals damage to a Toxified champion, that champion discards a card at random.|||Wei Zi|0|207aa6c1-672c-457c-9275-6b903ffa2c19|0|0|c5de53fb-854e-4bb5-a922-45d354130974
AI Only Cards|0|Lost Gnome|Epic||Troop|Gnome|None|0|2|1|2|Unlimited    When an opposing Wormoid enters play, put this into your deck and draw a card.|||Kieran Yanner|0||0|0|4ccb7e5f-bc32-4e9a-b1fe-abf944b27b74
AI Only Cards|0|Wormoid Grub|Epic|2 Ruby|Troop|Wormoid|None|0|6|4|3|[BASIC] [RUBY]: (2) -> Tunneling 4.    When an opposing champion plays a troop, if this is underground, this gets Tunneling -1.|||Yuriy Chemezov|0||0|0|71eb42ef-ea8a-45a9-85a1-a418041bcf00
AI Only Cards|0|Wormoid|Epic|2 Ruby|Troop|Wormoid|None|0|8|5|5|Crush    [BASIC] [RUBY]: (2) -> Tunneling 6.    When an opposing champion plays an action, if this is underground, this gets Tunneling -2.|||John Silva|0||0|0|29d3dba9-4978-4bae-b228-31704a8093c3
AI Only Cards|0|Firebreathing Wormoid|Epic|2 Ruby|Troop|Wormoid|None|0|10|9|4|[BASIC] [RUBY]: (2) -> Tunneling 8.    When an opposing champion plays a resource, if this is underground, this gets Tunneling -1.    Deploy - This deals 1 damage to each opposing troop for each Wormoid you control.|||MagicMan|0||0|0|b76be4c0-a340-4bec-9c09-2b17df50f54f
AI Only Cards|0|Scrios Brick (1)|Non-Collectible||Resource||None|0|0|0|0|My master gets "When a champion draws a card with cost (1), create a Scrios Brick and put it into your hand."|||Robb Mommaerts|0||0|0|927ef605-f8c6-4e74-b1f8-45cbd3931a71
AI Only Cards|0|Scrios Brick (2)|Non-Collectible||Resource||None|0|0|0|0|My master gets "When a champion draws a card with cost (2), create a Scrios Brick and put it into your hand."|||Robb Mommaerts|0||0|0|64e21a6e-5849-4b72-a741-eafabbb4d70d
AI Only Cards|0|Scrios Brick (3)|Non-Collectible||Resource||None|0|0|0|0|My master gets "When a champion draws a card with cost (3), create a Scrios Brick and put it into your hand."|||Robb Mommaerts|0||0|0|4e8f0da6-2a25-4da1-a37f-36f7b7978dfc
AI Only Cards|0|Scrios Brick (4)|Non-Collectible||Resource||None|0|0|0|0|My master gets "When a champion draws a card with cost (4), create a Scrios Brick and put it into your hand."|||Robb Mommaerts|0||0|0|977f6649-b598-4f75-b923-464782514f0e
AI Only Cards|0|Scrios Brick (5)|Non-Collectible||Resource||None|0|0|0|0|My master gets "When a champion draws a card with cost (5), create a Scrios Brick and put it into your hand."|||Robb Mommaerts|0||0|0|19f57f9c-e23d-40b5-a05a-bef5b282fed8
AI Only Cards|0|Wrathwood Lumber (1)|Non-Collectible||Resource||None|0|0|0|0|My master gets "When a champion draws a card with cost (1), create a Wrathwood Lumber and put it into your hand."|||Robb Mommaerts|0||0|0|d9189676-ac0d-4690-95d1-d5e5f81276a0
AI Only Cards|0|Wrathwood Lumber (2)|Non-Collectible||Resource||None|0|0|0|0|My master gets "When a champion draws a card with cost (2), create a Wrathwood Lumber and put it into your hand."|||Robb Mommaerts|0||0|0|522eb52c-8d1d-4570-ad47-fead59c4a58b
AI Only Cards|0|Wrathwood Lumber (3)|Non-Collectible||Resource||None|0|0|0|0|My master gets "When a champion draws a card with cost (3), create a Wrathwood Lumber and put it into your hand."|||Robb Mommaerts|0||0|0|7413e30e-d5d4-47c2-b966-770b64d15946
AI Only Cards|0|Wrathwood Lumber (4)|Non-Collectible||Resource||None|0|0|0|0|My master gets "When a champion draws a card with cost (4), create a Wrathwood Lumber and put it into your hand."|||Robb Mommaerts|0||0|0|eb689a75-49f3-493f-8c20-e7d086bb8894
AI Only Cards|0|Wrathwood Lumber (5)|Non-Collectible||Resource||None|0|0|0|0|My master gets "When a champion draws a card with cost (5), create a Wrathwood Lumber and put it into your hand."|||Robb Mommaerts|0||0|0|cc364d6a-81e1-4e9a-8de4-a3086c215b6c
AI Only Cards|0|Kog'Tepetl Ore (1)|Non-Collectible||Resource||None|0|0|0|0|My master gets "When a champion draws a card with cost (1), create a Kog'Tepetl Ore and put it into your hand."|||Robb Mommaerts|0||0|0|b06f109b-502f-4f4a-91d6-53dda23d4d22
AI Only Cards|0|Kog'Tepetl Ore (2)|Non-Collectible||Resource||None|0|0|0|0|My master gets "When a champion draws a card with cost (2), create a Kog'Tepetl Ore and put it into your hand."|||Robb Mommaerts|0||0|0|94cce1f8-a417-424e-9fde-3e6e96ffa04f
AI Only Cards|0|Kog'Tepetl Ore (3)|Non-Collectible||Resource||None|0|0|0|0|My master gets "When a champion draws a card with cost (3), create a Kog'Tepetl Ore and put it into your hand."|||Robb Mommaerts|0||0|0|60116159-799a-4f00-badb-0a17032e487d
AI Only Cards|0|Kog'Tepetl Ore (4)|Non-Collectible||Resource||None|0|0|0|0|My master gets "When a champion draws a card with cost (4), create a Kog'Tepetl Ore and put it into your hand."|||Robb Mommaerts|0||0|0|f87218b6-e45b-4733-99b7-cac403115b69
AI Only Cards|0|Kog'Tepetl Ore (5)|Non-Collectible||Resource||None|0|0|0|0|My master gets "When a champion draws a card with cost (5), create a Kog'Tepetl Ore and put it into your hand."|||Robb Mommaerts|0||0|0|dfaa214a-22b4-4982-9969-226db1ba3fb3
AI Only Cards|0|Carloth Grain (1)|Non-Collectible||Resource||None|0|0|0|0|My master gets "When a champion draws a card with cost (1), create a Carloth Grain and put it into your hand."|||Robb Mommaerts|0||0|0|47025337-45de-4cf9-9db0-379a96864b07
AI Only Cards|0|Carloth Grain (2)|Non-Collectible||Resource||None|0|0|0|0|My master gets "When a champion draws a card with cost (2), create a Carloth Grain and put it into your hand."|||Robb Mommaerts|0||0|0|b7c9bea2-5611-45ba-8739-98119200002e
AI Only Cards|0|Carloth Grain (3)|Non-Collectible||Resource||None|0|0|0|0|My master gets "When a champion draws a card with cost (3), create a Carloth Grain and put it into your hand."|||Robb Mommaerts|0||0|0|c3c7b166-d5e1-4503-8bde-234b9fd2b540
AI Only Cards|0|Carloth Grain (4)|Non-Collectible||Resource||None|0|0|0|0|My master gets "When a champion draws a card with cost (4), create a Carloth Grain and put it into your hand."|||Robb Mommaerts|0||0|0|1b8a181f-0048-40c4-be74-ea81d8395663
AI Only Cards|0|Carloth Grain (5)|Non-Collectible||Resource||None|0|0|0|0|My master gets "When a champion draws a card with cost (5), create a Carloth Grain and put it into your hand."|||Robb Mommaerts|0||0|0|e804f5a3-a43d-4482-9af7-366145891605
AI Only Cards|0|Dingler Wool (1)|Non-Collectible||Resource||None|0|0|0|0|My master gets "When a champion draws a card with cost (1), create a Dingler Wool and put it into your hand."|||Robb Mommaerts|0||0|0|de779e87-3ccb-4327-8dd2-6f96e5236381
AI Only Cards|0|Dingler Wool (2)|Non-Collectible||Resource||None|0|0|0|0|My master gets "When a champion draws a card with cost (2), create a Dingler Wool and put it into your hand."|||Robb Mommaerts|0||0|0|25407049-a9b8-4a98-bae1-684db9ef3412
AI Only Cards|0|Dingler Wool (3)|Non-Collectible||Resource||None|0|0|0|0|My master gets "When a champion draws a card with cost (3), create a Dingler Wool and put it into your hand."|||Robb Mommaerts|0||0|0|e8d2d290-21e9-4fa1-b67a-ca5d930e462b
AI Only Cards|0|Dingler Wool (4)|Non-Collectible||Resource||None|0|0|0|0|My master gets "When a champion draws a card with cost (4), create a Dingler Wool and put it into your hand."|||Robb Mommaerts|0||0|0|35bfe17c-26b6-413d-aa36-f5c6e80ecb9c
AI Only Cards|0|Dingler Wool (5)|Non-Collectible||Resource||None|0|0|0|0|My master gets "When a champion draws a card with cost (5), create a Dingler Wool and put it into your hand."|||Robb Mommaerts|0||0|0|00a36f11-1c46-4b57-9e61-6bce9be591a1
AI Only Cards|0|Lose a Permanent Resource|Non-Collectible||Resource||None|0|0|0|0|You lose [L0][R1].|||Grant Griffin|0||0|0|90ef6802-58d1-4f27-aac2-bbd86de62b3c
AI Only Cards|0|Ancient Thorn Knight Draws Two Cards|Non-Collectible||Resource||None|0|0|0|0|Each opposing champion draws two cards.|||Grant Griffin|0||0|0|461029b4-a1f8-4c81-b916-e57a718845f9
AI Only Cards|0|Princess Daphne|Promo|1 Diamond|Troop|Human Princess|Aria|0|1|0|1|This can't attack.    This can't block.||Unique|Michael Berube|0||0|0|686ab5d7-3635-4cb2-91b5-2f933ccc7cb2
AI Only Cards|0|Taming Sphere|Non-Collectible||Artifact||None|0|0|0|0|[BASIC]: (2), Exhaust -> You have a 50% chance to Tame target Untamed troop. It gets Tamed.    [BASIC]: (5), Exhaust -> Tame target Untamed troop. It gets Tamed.|||Anders Finer|0||0|0|7a8ab8b5-23c2-4359-b8cb-f560c359da27
AI Only Cards|0|Choose Blood Blood Blood|Non-Collectible||Resource||None|0|0|0|0|Gain [BLOOD][BLOOD][BLOOD].||||0||0|0|d246ef0d-6d38-4c8c-9557-257b168606da
AI Only Cards|0|Choose Diamond Diamond Diamond|Non-Collectible||Resource||None|0|0|0|0|Gain [DIAMOND][DIAMOND][DIAMOND].||||0||0|0|b10c1fe5-ed7b-44a6-81bc-2ad2d8385c58
AI Only Cards|0|Choose Ruby Ruby Ruby|Non-Collectible||Resource||None|0|0|0|0|Gain [RUBY][RUBY][RUBY].||||0||0|0|4f528ef8-691f-4851-af69-6784feccbe15
AI Only Cards|0|Choose Sapphire Sapphire Sapphire|Non-Collectible||Resource||None|0|0|0|0|Gain [SAPPHIRE][SAPPHIRE][SAPPHIRE].||||0||0|0|b3d6b86a-fe8b-4332-bf88-d35ef3e54f4e
AI Only Cards|0|Choose Wild Wild Wild|Non-Collectible||Resource||None|0|0|0|0|Gain [WILD][WILD][WILD].||||0||0|0|c23ed6c7-69ce-4d65-abfc-677a4e207d65
AI Only Cards|0|Arena Incantation|Non-Collectible||Mod||None|0|0|0|0|At the start of the game, each champion summons a random card with Incantation in its name.||||0||0|0|93b14b68-a4f6-40f9-a642-068eb1a58cb0
Armies of Myth|0|Sagebrush|Champion||Champion|Coyotle Warlock|Aria|0||0|0|[BASIC] [WILD]: [3] -> Prophecy - The next troop in your deck gets +1[ATK]/+1[DEF].||||0||0|0|a1d7296a-cb2e-4149-a682-277406e5b4e5
Armies of Myth|0|Carrac The Scavenger|Champion||Champion|Necrotic Warlock|Underworld|0||0|0|[BASIC] [BLOOD][BLOOD]: [4] -> Transform target troop in your crypt into a Zombie. Put that troop into your hand.||||0||0|0|1586e248-ef40-48db-b2ee-d343d10bfe98
Armies of Myth|0|Patriarch Ozin|Champion||Champion|Vennen Warlock|Underworld|0||0|0|[BASIC] [BLOOD]: [2] -> Target troop gets "When this deals damage to a champion, bury the top card of that champion's deck."||||0||0|0|ee1b1b1f-1a5b-4792-9db4-e310b0031305
Shattered Destiny|0|Bunoshi the Ruthless|Champion||Champion|Shin'hare Warlock|Underworld|0||0|0|[BASIC] [BLOOD]: [3], Sacrifice a troop -> Another target troop gets +2[ATK]/+2[DEF].||||0||0|0|5c0a66c0-103b-4e1c-b150-b27f5c23f5e1
Shattered Destiny|0|Daughter of Stars|Champion||Champion|Coyotle Mage|Aria|0||0|0|[BASIC] [SAPPHIRE][SAPPHIRE][SAPPHIRE][SAPPHIRE]: [10] -> Put each opposing troop into its controller's hand.||||0||0|0|30e018f9-1956-462b-a276-340013e555b2
Shattered Destiny|0|Sir Giles Rowan|Champion||Champion|Human Warrior|Aria|0||0|0|[BASIC] [RUBY]: [4] -> Target troop you control and all your troops in all zones that share a trait with it get +1[ATK]/+0[DEF].||||0||0|0|137b56af-0482-4351-af14-319021c896a5
Shattered Destiny|0|Rutherford Banks|Champion||Champion|Human Cleric|Aria|0||0|0|[BASIC] [DIAMOND][DIAMOND]: [7] -> Put target troop from your crypt into play.||||0||0|0|722c0143-cd69-4819-82b4-2bf711f75971
Shattered Destiny|0|Warmaster Fuzzuko|Champion||Champion|Shin'hare Warrior|Underworld|0||0|0|[BASIC] [WILD][WILD]: [5] -> Troops you control get +1[ATK]/+1[DEF].||||0||0|0|47a8e22e-7efb-4726-aee9-94daf4677a03
Set01_PvE_Arena|0|Zakiir|Champion||Champion|Dragon|None|0||0|0|[BASIC]: [1] -> Deal 2 damage to target champion or troop. Then, choose one at random: Create a Power of Zakiir: Destructive Delirium and put it into your hand; Create a Power of Zakiir: Glimpse of Insanity and put it into your hand; Create a Power of Zakiir: Eye of Zakiir and put it into your hand; Create a Power of Zakiir: Flame Breath and put it into your hand; or  Create a Power of Zakiir: Fire Servant and put it into your hand.    When a Dragon troop you control deals damage to an opposing champion, choose one at random: Create a Power of Zakiir: Destructive Delirium and put it into your hand; Create a Power of Zakiir: Glimpse of Insanity and put it into your hand; Create a Power of Zakiir: Eye of Zakiir and put it into your hand; Create a Power of Zakiir: Flame Breath and put it into your hand; or  Create a Power of Zakiir: Fire Servant and put it into your hand.||||0||0|0|72355d01-56c6-444e-b904-82d4aef18e31
Set01_PvE_Arena|0|Eternal Sage|Champion||Champion|Eternal|None|0||0|0|[BASIC]: [3] -> Create a random multishard card and put it into your hand.    When you play a card that is:  [RUBY]:Deal 1 damage to each opposing troop.  [BLOOD]:Bury the top 5 cards of each opposing champion's deck.  [DIAMOND]: Gain 4 health.  [SAPPHIRE]: Exhaust target opposing troop.  It can't ready during its controller's next ready step.  [WILD]: Target troop gets +3[ATK]/+3[DEF] this turn.||||0||0|0|90ce6513-05b1-4e27-9a39-2fa03bbf63a4
Set01_PvE_Arena|0|Poet of Gla'aki|Champion||Champion|Chaostouched|None|0||0|0|[BASIC] [SAPPHIRE][SAPPHIRE][SAPPHIRE]: [3] -> Put a random non-resource, non-Chaostouched card from your deck into your hand.    Your Chaostouched in all zones have cost -(1).    When a non-resource card enters an opposing crypt from a deck, that card loses all thresholds. Put that card into your hand.||||0||0|0|c7de97a3-0800-4e0c-98af-631b620e76ff
Set01_PvE_Arena|0|Brood Count|Champion||Champion|Vennen Warrior|Underworld|0||0|0|[BASIC] [BLOOD][BLOOD]: [5] -> Summon a random sapphire Vennen.    If a non-Spider would deal damage to an opposing champion, create a Spiderling Egg for each damage that would be dealt and put them into that champion's deck instead.||||0||0|0|cdcc3711-cee9-4714-bd9b-e5bf7e47c4ed
Set01_PvE_Arena|0|Duplicitous Duke|Champion||Champion|Necrotic Warlock|Underworld|0||0|0|[BASIC] [RUBY][RUBY]: [4] -> Summon a copy of target troop you control. It gets "Must attack". It gets Speed. It gets "When combat ends, void this."    When you play a Necrotic, gain a charge.||||0||0|0|d43ae91e-cca6-49d6-a3a5-d2673b35604d
Set01_PvE_Arena|0|Prestigitator|Champion||Champion|Human Mage|Aria|0||0|0|[BASIC] [SAPPHIRE]: [3] -> Put a random action from your deck into your hand.    When you play an action, if you have ten or more actions in your crypt, create a random action with cost (1) that you meet the threshold requirements to play and put it into your hand.||||0||0|0|6c7dbfda-c78c-480e-8aa5-cb8436cec1cb
Set01_PvE_Arena|0|Pyresoul Summoner|Champion||Champion|Human Warlock|Aria|0||0|0|[BASIC] [DIAMOND][RUBY]: [4] -> Create a Phantom and put it into your hand. Create a Blaze Elemental and put it into your hand.    [DIAMOND][RUBY]: When an Elemental or a Spirit enters your hand, choose one at random: It gets cost -(1); or It gets Rage 1.||||0||0|0|7a28af0a-1f2e-4de5-9aaf-c0795ef2cde2
Set01_PvE_Arena|0|Goneril|Champion||Champion||None|0||0|0|||||0||0|0|cf2db84c-c672-4c74-84e6-7585bd5a8fb8
Set01_PvE_Arena|0|Mulug|Champion||Champion||None|0||0|0|||||0||0|0|3e8296d2-d853-4f97-a5bd-ce4c8ca5825f
Set01_PvE_Arena|0|Hogarth, Keeper of the Frost Ring|Champion||Champion||None|0||0|0|TBD||||0||0|0|ce0685e3-4d6d-4311-a0be-f39cd19cead8
AI Only Cards|0|Strangling Darkness|Epic|1 Blood|Troop|Spirit|None|0|1|1|1|Flight    Deploy - Each opposing champion discards a non-resource card with cost (2) or less.|||Anders Finer|0|7665db06-042e-43ec-ab23-f9f3ffb42420, 8d8b1ec8-d47f-45b4-bf2a-62c3faa9e9ab|0|0|b9802488-9cd7-495c-b0fd-9ce300d91c35
AZ2|0|Chupacabra|Uncommon|1 Blood|Troop|Beast|None|0|4|1|2|Speed    When this attacks, a random opposing troop gets -1[ATK]/-1[DEF]. Then, this gets +1[ATK]/+1[DEF].|||Apterus|0|18e1dabc-906c-4094-8b86-972b578809a1|0|0|fb19f8ae-bf96-4d10-8e4b-eeb40837358e
