Name|Ed.|Type|R|Mana cost|CMC|P|T|L|Ability
423812|Cogwork Assembler|AER|Artifact Creature - Assembly-Worker|U|3|3|2|3||7: Create a token that's a copy of target artifact. That token gains haste. Exile it at the beginning of the next end step.
423678|Consulate Crackdown|AER|Enchantment|R|3WW|5||||When Consulate Crackdown enters the battlefield, exile all artifacts your opponents control until Consulate Crackdown leaves the battlefield.
423813|Consulate Dreadnought|AER|Artifact - Vehicle|U|1|1|7|11||Crew 6 (Tap any number of creatures you control with total power 6 or more: This Vehicle becomes an artifact creature until end of turn.)
423814|Consulate Turret|AER|Artifact|C|3|3||||T: You get E (an energy counter).  T, Pay EEE: Consulate Turret deals 2 damage to target player.
423679|Conviction|AER|Enchantment - Aura|C|1W|2||||Enchant creature  Enchanted creature gets +1/+3.  W: Return Conviction to its owner's hand.
423680|Countless Gears Renegade|AER|Creature - Dwarf Artificer|C|1W|2|2|2||Revolt - When Countless Gears Renegade enters the battlefield, if a permanent you controlled left the battlefield this turn, create a 1/1 colorless Servo artifact creature token.
423815|Crackdown Construct|AER|Artifact Creature - Construct|U|4|4|2|2||Whenever you activate an ability of an artifact or creature that isn't a mana ability, Crackdown Construct gets +1/+1 until end of turn.
423721|Cruel Finality|AER|Instant|C|2B|3||||Target creature gets -2/-2 until end of turn. Scry 1. (Look at the top card of your library. You may put that card on the bottom of your library.)
423816|Daredevil Dragster|AER|Artifact - Vehicle|U|3|3|4|4||At end of combat, if Daredevil Dragster attacked or blocked this combat, put a velocity counter on it. Then if it has two or more velocity counters on it, sacrifice it and draw two cards.  Crew 2 (Tap any number of creatures you control with total power 2 or more: This Vehicle becomes an artifact creature until end of turn.)
423722|Daring Demolition|AER|Sorcery|C|2BB|4||||Destroy target creature or Vehicle.
423795|Dark Intimations|AER|Sorcery|R|2UBR|5||||Each opponent sacrifices a creature or planeswalker, then discards a card. You return a creature or planeswalker card from your graveyard to your hand, then draw a card.  When you cast a Bolas planeswalker spell, exile Dark Intimations from your graveyard. That planeswalker enters the battlefield with an additional loyalty counter on it.
423681|Dawnfeather Eagle|AER|Creature - Bird|C|4W|5|3|3||Flying  When Dawnfeather Eagle enters the battlefield, creatures you control get +1/+1 and gain vigilance until end of turn.
423682|Deadeye Harpooner|AER|Creature - Dwarf Warrior|U|2W|3|2|2||Revolt - When Deadeye Harpooner enters the battlefield, if a permanent you controlled left the battlefield this turn, destroy target tapped creature an opponent controls.
423683|Decommission|AER|Instant|C|2W|3||||Destroy target artifact or enchantment.  Revolt - If a permanent you controlled left the battlefield this turn, you gain 3 life.
423723|Defiant Salvager|AER|Creature - Aetherborn Artificer|C|2B|3|2|2||Sacrifice an artifact or creature: Put a +1/+1 counter on Defiant Salvager. Activate this ability only any time you could cast a sorcery.
423684|Deft Dismissal|AER|Instant|U|3W|4||||Deft Dismissal deals 3 damage divided as you choose among one, two, or three target attacking or blocking creatures.
423745|Destructive Tampering|AER|Sorcery|C|2R|3||||Choose one -  - Destroy target artifact.  - Creatures without flying can't block this turn.
423698|Disallow|AER|Instant|R|1UU|3||||Counter target spell, activated ability, or triggered ability. (Mana abilities can't be targeted.)
423699|Dispersal Technician|AER|Creature - Vedalken Artificer|C|4U|5|3|2||When Dispersal Technician enters the battlefield, you may return target artifact to its owner's hand.
423773|Druid of the Cowl|AER|Creature - Elf Druid|C|1G|2|1|3||T: Add G to your mana pool.
423700|Efficient Construction|AER|Enchantment|U|3U|4||||Whenever you cast an artifact spell, create a 1/1 colorless Thopter artifact creature token with flying.
423746|Embraal Gear-Smasher|AER|Creature - Human Warrior|C|2R|3|2|3||T, Sacrifice an artifact: Embraal Gear-Smasher deals 2 damage to each opponent.
423747|Enraged Giant|AER|Creature - Giant|U|5R|6|4|4||Improvise (Your artifacts can help cast this spell. Each artifact you tap after you're done activating mana abilities pays for 1.)  Trample, haste
423685|Exquisite Archangel|AER|Creature - Angel|M|5WW|7|5|5||Flying  If you would lose the game, instead exile Exquisite Archangel and your life total becomes equal to your starting life total.
423724|Fatal Push|AER|Instant|U|B|1||||Destroy target creature if it has converted mana cost 2 or less.  Revolt - Destroy that creature if it has converted mana cost 4 or less instead if a permanent you controlled left the battlefield this turn.
423686|Felidar Guardian|AER|Creature - Cat Beast|U|3W|4|1|4||When Felidar Guardian enters the battlefield, you may exile another target permanent you control, then return that card to the battlefield under its owner's control.
423725|Fen Hauler|AER|Creature - Insect|C|6B|7|5|5||Improvise (Your artifacts can help cast this spell. Each artifact you tap after you're done activating mana abilities pays for 1.)  Fen Hauler can't be blocked by artifact creatures.
423817|Filigree Crawler|AER|Artifact Creature - Insect|C|4|4|2|2||When Filigree Crawler dies, create a 1/1 colorless Thopter artifact creature token with flying.
423818|Foundry Assembler|AER|Artifact Creature - Assembly-Worker|C|5|5|3|3||Improvise (Your artifacts can help cast this spell. Each artifact you tap after you're done activating mana abilities pays for 1.)
423726|Foundry Hornet|AER|Creature - Insect|U|3B|4|2|3||Flying  When Foundry Hornet enters the battlefield, if you control a creature with a +1/+1 counter on it, creatures your opponents control get -1/-1 until end of turn.
423727|Fourth Bridge Prowler|AER|Creature - Human Rogue|C|B|1|1|1||When Fourth Bridge Prowler enters the battlefield, you may have target creature get -1/-1 until end of turn.
423748|Freejam Regent|AER|Creature - Dragon|R|4RR|6|4|4||Improvise (Your artifacts can help cast this spell. Each artifact you tap after you're done activating mana abilities pays for 1.)  Flying  1R: Freejam Regent gets +2/+0 until end of turn.
423749|Frontline Rebel|AER|Creature - Human Warrior|C|2R|3|3|3||Frontline Rebel attacks each combat if able.
423687|Ghirapur Osprey|AER|Creature - Bird|C|2W|3|2|2||Flying
423728|Gifted Aetherborn|AER|Creature - Aetherborn Vampire|U|BB|2|2|3||Deathtouch, lifelink
423729|Glint-Sleeve Siphoner|AER|Creature - Human Rogue|R|1B|2|2|1||Menace  Whenever Glint-Sleeve Siphoner enters the battlefield or attacks, you get E (an energy counter).  At the beginning of your upkeep, you may pay EE. If you do, you draw a card and you lose 1 life.
423819|Gonti's Aether Heart|AER|Legendary Artifact|M|6|6||||Whenever Gonti's Aether Heart or another artifact enters the battlefield under your control, you get EE (two energy counters).  Pay EEEEEEEE, Exile Gonti's Aether Heart: Take an extra turn after this one.
423730|Gonti's Machinations|AER|Enchantment|U|B|1||||Whenever you lose life for the first time each turn, you get E. (You get an energy counter. Damage causes loss of life.)  Pay EE, Sacrifice Gonti's Machinations: Each opponent loses 3 life. You gain life equal to the life lost this way.
423774|Greenbelt Rampager|AER|Creature - Elephant|R|G|1|3|4||When Greenbelt Rampager enters the battlefield, pay EE (two energy counters). If you can't, return Greenbelt Rampager to its owner's hand and you get E.
423775|Greenwheel Liberator|AER|Creature - Elf Warrior|R|1G|2|2|1||Revolt - Greenwheel Liberator enters the battlefield with two +1/+1 counters on it if a permanent you controlled left the battlefield this turn.
423750|Gremlin Infestation|AER|Enchantment - Aura|U|3R|4||||Enchant artifact  At the beginning of your end step, Gremlin Infestation deals 2 damage to enchanted artifact's controller.  When enchanted artifact is put into a graveyard, create a 2/2 red Gremlin creature token.
423820|Heart of Kiran|AER|Legendary Artifact - Vehicle|M|2|2|4|4||Flying, vigilance  Crew 3 (Tap any number of creatures you control with total power 3 or more: This Vehicle becomes an artifact creature until end of turn.)  You may remove a loyalty counter from a planeswalker you control rather than pay Heart of Kiran's crew cost.
423731|Herald of Anguish|AER|Creature - Demon|M|5BB|7|5|5||Improvise (Your artifacts can help cast this spell. Each artifact you tap after you're done activating mana abilities pays for 1.)  Flying  At the beginning of your end step, each opponent discards a card.  1B, Sacrifice an artifact: Target creature gets -2/-2 until end of turn.
423776|Heroic Intervention|AER|Instant|R|1G|2||||Permanents you control gain hexproof and indestructible until end of turn.
423777|Hidden Herbalists|AER|Creature - Human Druid|U|1G|2|2|2||Revolt - When Hidden Herbalists enters the battlefield, if a permanent you controlled left the battlefield this turn, add GG to your mana pool.
423796|Hidden Stockpile|AER|Enchantment|U|WB|2||||Revolt - At the beginning of your end step, if a permanent you controlled left the battlefield this turn, create a 1/1 colorless Servo artifact creature token.  1, Sacrifice a creature: Scry 1.
423778|Highspire Infusion|AER|Instant|C|1G|2||||Target creature gets +3/+3 until end of turn. You get EE (two energy counters).
423701|Hinterland Drake|AER|Creature - Drake|C|2U|3|2|3||Flying  Hinterland Drake can't block artifact creatures.
423821|Hope of Ghirapur|AER|Legendary Artifact Creature - Thopter|R|1|1|1|1||Flying  Sacrifice Hope of Ghirapur: Until your next turn, target player who was dealt combat damage by Hope of Ghirapur this turn can't cast noncreature spells.
423751|Hungry Flames|AER|Instant|U|2R|3||||Hungry Flames deals 3 damage to target creature and 2 damage to target player.
423702|Ice Over|AER|Enchantment - Aura|C|1U|2||||Enchant artifact or creature  Enchanted permanent doesn't untap during its controller's untap step.
423703|Illusionist's Stratagem|AER|Instant|U|3U|4||||Exile up to two target creatures you control, then return those cards to the battlefield under their owner's control.  Draw a card.
423822|Implement of Combustion|AER|Artifact|C|1|1||||R, Sacrifice Implement of Combustion: It deals 1 damage to target player.  When Implement of Combustion is put into a graveyard from the battlefield, draw a card.
423823|Implement of Examination|AER|Artifact|C|3|3||||U, Sacrifice Implement of Examination: Draw a card.  When Implement of Examination is put into a graveyard from the battlefield, draw a card.
423824|Implement of Ferocity|AER|Artifact|C|1|1||||G, Sacrifice Implement of Ferocity: Put a +1/+1 counter on target creature. Activate this ability only any time you could cast a sorcery.  When Implement of Ferocity is put into a graveyard from the battlefield, draw a card.
423825|Implement of Improvement|AER|Artifact|C|1|1||||W, Sacrifice Implement of Improvement: You gain 2 life.  When Implement of Improvement is put into a graveyard from the battlefield, draw a card.
423826|Implement of Malice|AER|Artifact|C|2|2||||B, Sacrifice Implement of Malice: Target player discards a card. Activate this ability only any time you could cast a sorcery.  When Implement of Malice is put into a graveyard from the battlefield, draw a card.
423752|Indomitable Creativity|AER|Sorcery|M|XRRR|3||||Destroy X target artifacts and/or creatures. For each permanent destroyed this way, its controller reveals cards from the top of his or her library until an artifact or creature card is revealed and exiles that card. Those players put the exiled cards onto the battlefield, then shuffle their libraries.
425693|Inspiring Roar|AER|Sorcery|C|3W|4||||Put a +1/+1 counter on each creature you control.
423827|Inspiring Statuary|AER|Artifact|R|3|3||||Nonartifact spells you cast have improvise. (Your artifacts can help cast those spells. Each artifact you tap after you're done activating mana abilities pays for 1.)
423753|Invigorated Rampage|AER|Instant|U|1R|2||||Choose one -  - Target creature gets +4/+0 and gains trample until end of turn.  - Two target creatures each get +2/+0 and gain trample until end of turn.
423732|Ironclad Revolutionary|AER|Creature - Aetherborn Artificer|U|4BB|6|4|4||When Ironclad Revolutionary enters the battlefield, you may sacrifice an artifact. If you do, put two +1/+1 counters on Ironclad Revolutionary and each opponent loses 2 life.
423828|Irontread Crusher|AER|Artifact - Vehicle|C|4|4|6|6||Crew 3 (Tap any number of creatures you control with total power 3 or more: This Vehicle becomes an artifact creature until end of turn.)
423754|Kari Zev, Skyship Raider|AER|Legendary Creature - Human Pirate|R|1R|2|1|3||First strike, menace  Whenever Kari Zev, Skyship Raider attacks, create a legendary 2/1 red Monkey creature token named Ragavan that's tapped and attacking. Exile that token at end of combat.
423755|Kari Zev's Expertise|AER|Sorcery|R|1RR|3||||Gain control of target creature or Vehicle until end of turn. Untap it. It gains haste until end of turn.  You may cast a card with converted mana cost 2 or less from your hand without paying its mana cost.
423756|Lathnu Sailback|AER|Creature - Lizard|C|4R|5|5|4||
423704|Leave in the Dust|AER|Instant|C|3U|4||||Return target nonland permanent to its owner's hand.  Draw a card.
423779|Lifecraft Awakening|AER|Instant|U|XG|1||||Put X +1/+1 counters on target artifact you control. If it isn't a creature or Vehicle, it becomes a 0/0 Construct artifact creature.
423780|Lifecraft Cavalry|AER|Creature - Elf Warrior|C|4G|5|4|4||Trample  Revolt - Lifecraft Cavalry enters the battlefield with two +1/+1 counters on it if a permanent you controlled left the battlefield this turn.
423829|Lifecrafter's Bestiary|AER|Artifact|R|3|3||||At the beginning of your upkeep, scry 1.  Whenever you cast a creature spell, you may pay G. If you do, draw a card.
423781|Lifecrafter's Gift|AER|Instant|U|3G|4||||Put a +1/+1 counter on target creature, then put a +1/+1 counter on each creature you control with a +1/+1 counter on it.
423757|Lightning Runner|AER|Creature - Human Warrior|M|3RR|5|2|2||Double strike, haste  Whenever Lightning Runner attacks, you get EE (two energy counters), then you may pay EEEEEEEE. If you pay, untap all creatures you control, and after this phase, there is an additional combat phase.
423782|Maulfist Revolutionary|AER|Creature - Human Warrior|U|1GG|3|3|3||Trample  When Maulfist Revolutionary enters the battlefield or dies, for each kind of counter on target permanent or player, give that permanent or player another counter of that kind.
423797|Maverick Thopterist|AER|Creature - Human Artificer|U|3UR|5|2|2||Improvise (Your artifacts can help cast this spell. Each artifact you tap after you're done activating mana abilities pays for 1.)  When Maverick Thopterist enters the battlefield, create two 1/1 colorless Thopter artifact creature tokens with flying.
423705|Mechanized Production|AER|Enchantment - Aura|M|2UU|4||||Enchant artifact you control  At the beginning of your upkeep, create a token that's a copy of enchanted artifact. Then if you control eight or more artifacts with the same name as one another, you win the game.
423830|Merchant's Dockhand|AER|Artifact Creature - Construct|R|1|1|1|2||3U, T, Tap X untapped artifacts you control: Look at the top X cards of your library. Put one of them into your hand and the rest on the bottom of your library in any order.
423831|Metallic Mimic|AER|Artifact Creature - Shapeshifter|R|2|2|2|1||As Metallic Mimic enters the battlefield, choose a creature type.  Metallic Mimic is the chosen type in addition to its other types.  Each other creature you control of the chosen type enters the battlefield with an additional +1/+1 counter on it.
423706|Metallic Rebuke|AER|Instant|C|2U|3||||Improvise (Your artifacts can help cast this spell. Each artifact you tap after you're done activating mana abilities pays for 1.)  Counter target spell unless its controller pays 3.
423733|Midnight Entourage|AER|Creature - Aetherborn Rogue|R|2BB|4|3|3||Other Aetherborn you control get +1/+1.  Whenever Midnight Entourage or another Aetherborn you control dies, you draw a card and you lose 1 life.
423832|Mobile Garrison|AER|Artifact - Vehicle|C|3|3|3|4||Whenever Mobile Garrison attacks, untap another target artifact or creature you control.  Crew 2 (Tap any number of creatures you control with total power 2 or more: This Vehicle becomes an artifact creature until end of turn.)
423783|Monstrous Onslaught|AER|Sorcery|U|3GG|5||||Monstrous Onslaught deals X damage divided as you choose among any number of target creatures, where X is the greatest power among creatures you control as you cast Monstrous Onslaught.
423784|Narnam Renegade|AER|Creature - Elf Warrior|U|G|1|1|2||Deathtouch  Revolt - Narnam Renegade enters the battlefield with a +1/+1 counter on it if a permanent you controlled left the battlefield this turn.
423785|Natural Obsolescence|AER|Instant|C|1G|2||||Put target artifact on the bottom of its owner's library.
423707|Negate|AER|Instant|C|1U|2||||Counter target noncreature spell.
423734|Night Market Aeronaut|AER|Creature - Aetherborn Warrior|C|3B|4|2|2||Flying  Revolt - Night Market Aeronaut enters the battlefield with a +1/+1 counter on it if a permanent you controlled left the battlefield this turn.
423833|Night Market Guard|AER|Artifact Creature - Construct|C|3|3|3|1||Night Market Guard can block an additional creature each combat.
423798|Oath of Ajani|AER|Legendary Enchantment|R|GW|2||||When Oath of Ajani enters the battlefield, put a +1/+1 counter on each creature you control.  Planeswalker spells you cast cost 1 less to cast.
423834|Ornithopter|AER|Artifact Creature - Thopter|U|0|0|0|2||Flying
423799|Outland Boar|AER|Creature - Boar|U|2RG|4|4|4||Outland Boar can't be blocked by creatures with power 2 or less.
423835|Pacification Array|AER|Artifact|U|1|1||||2, T: Tap target artifact or creature.
423836|Paradox Engine|AER|Legendary Artifact|M|5|5||||Whenever you cast a spell, untap all nonland permanents you control.
423837|Peacewalker Colossus|AER|Artifact - Vehicle|R|3|3|6|6||1W: Another target Vehicle you control becomes an artifact creature until end of turn.  Crew 4 (Tap any number of creatures you control with total power 4 or more: This Vehicle becomes an artifact creature until end of turn.)
423786|Peema Aether-Seer|AER|Creature - Elf Druid|U|3G|4|3|2||When Peema Aether-Seer enters the battlefield, you get an amount of E (energy counters) equal to the greatest power among creatures you control.  Pay EEE: Target creature blocks this turn if able.
425699|Pendulum of Patterns|AER|Artifact|C|2|2||||When Pendulum of Patterns enters the battlefield, you gain 3 life.  5, T, Sacrifice Pendulum of Patterns: Draw a card.
423735|Perilous Predicament|AER|Instant|U|4B|5||||Each opponent sacrifices an artifact creature and a nonartifact creature.
423758|Pia's Revolution|AER|Enchantment|R|2R|3||||Whenever a nontoken artifact is put into your graveyard from the battlefield, return that card to your hand unless target opponent has Pia's Revolution deal 3 damage to him or her.
423838|Planar Bridge|AER|Legendary Artifact|M|6|6||||8, T: Search your library for a permanent card, put it onto the battlefield, then shuffle your library.
423759|Precise Strike|AER|Instant|C|R|1||||Target creature gets +1/+0 and gains first strike until end of turn.
423787|Prey Upon|AER|Sorcery|C|G|1||||Target creature you control fights target creature you don't control. (Each deals damage equal to its power to the other.)
423839|Prizefighter Construct|AER|Artifact Creature - Construct|C|5|5|6|2||
423760|Quicksmith Rebel|AER|Creature - Human Artificer|R|3R|4|3|2||"When Quicksmith Rebel enters the battlefield, target artifact you control gains ""T: This artifact deals 2 damage to target creature or player"" for as long as you control Quicksmith Rebel."
423708|Quicksmith Spy|AER|Creature - Human Artificer|R|3U|4|2|3||"When Quicksmith Spy enters the battlefield, target artifact you control gains ""T: Draw a card"" for as long as you control Quicksmith Spy."
423761|Ravenous Intruder|AER|Creature - Gremlin|U|1R|2|1|2||Sacrifice an artifact: Ravenous Intruder gets +2/+2 until end of turn.
423762|Reckless Racer|AER|Creature - Human Pilot|U|2R|3|2|3||First strike  Whenever Reckless Racer becomes tapped, you may discard a card. If you do, draw a card.
423763|Release the Gremlins|AER|Sorcery|R|XXR|1||||Destroy X target artifacts. Create X 2/2 red Gremlin creature tokens.
423840|Renegade Map|AER|Artifact|C|1|1||||Renegade Map enters the battlefield tapped.  T, Sacrifice Renegade Map: Search your library for a basic land card, reveal it, put it into your hand, then shuffle your library.
423800|Renegade Rallier|AER|Creature - Human Warrior|U|1GW|3|3|2||Revolt - When Renegade Rallier enters the battlefield, if a permanent you controlled left the battlefield this turn, return target permanent card with converted mana cost 2 or less from your graveyard to the battlefield.
423801|Renegade Wheelsmith|AER|Creature - Dwarf Pilot|U|1RW|3|3|2||Whenever Renegade Wheelsmith becomes tapped, target creature can't block this turn.
423736|Renegade's Getaway|AER|Instant|C|2B|3||||"Target permanent gains indestructible until end of turn. Create a 1/1 colorless Servo artifact creature token. (Effects that say ""destroy"" don't destroy a permanent with indestructible, and if it's a creature, it can't be destroyed by damage.)"
423841|Reservoir Walker|AER|Artifact Creature - Construct|C|5|5|3|3||When Reservoir Walker enters the battlefield, you gain 3 life and get EEE (three energy counters).
423737|Resourceful Return|AER|Sorcery|C|1B|2||||Return target creature card from your graveyard to your hand. If you control an artifact, draw a card.
423688|Restoration Specialist|AER|Creature - Dwarf Artificer|U|1W|2|2|1||W, Sacrifice Restoration Specialist: Return up to one target artifact card and up to one target enchantment card from your graveyard to your hand.
423709|Reverse Engineer|AER|Sorcery|U|3UU|5||||Improvise (Your artifacts can help cast this spell. Each artifact you tap after you're done activating mana abilities pays for 1.)  Draw three cards.
423788|Ridgescale Tusker|AER|Creature - Beast|U|3GG|5|5|5||When Ridgescale Tusker enters the battlefield, put a +1/+1 counter on each other creature you control.
423789|Rishkar, Peema Renegade|AER|Legendary Creature - Elf Druid|R|2G|3|2|2||"When Rishkar, Peema Renegade enters the battlefield, put a +1/+1 counter on each of up to two target creatures.  Each creature you control with a counter on it has ""T: Add G to your mana pool."""
423790|Rishkar's Expertise|AER|Sorcery|R|4GG|6||||Draw cards equal to the greatest power among creatures you control.  You may cast a card with converted mana cost 5 or less from your hand without paying its mana cost.
423802|Rogue Refiner|AER|Creature - Human Rogue|U|1GU|3|3|2||When Rogue Refiner enters the battlefield, draw a card and you get EE (two energy counters).
423710|Salvage Scuttler|AER|Creature - Crab|U|4U|5|4|4||Whenever Salvage Scuttler attacks, return an artifact you control to its owner's hand.
423842|Scrap Trawler|AER|Artifact Creature - Construct|R|3|3|3|2||Whenever Scrap Trawler or another artifact you control is put into a graveyard from the battlefield, return to your hand target artifact card in your graveyard with lesser converted mana cost.
423764|Scrapper Champion|AER|Creature - Human Artificer|U|3R|4|2|2||Double strike (This creature deals both first-strike and regular combat damage.)  When Scrapper Champion enters the battlefield, you get EE (two energy counters).  Whenever Scrapper Champion attacks, you may pay EE. If you do, put a +1/+1 counter on it.
423791|Scrounging Bandar|AER|Creature - Cat Monkey|C|1G|2|0|0||Scrounging Bandar enters the battlefield with two +1/+1 counters on it.  At the beginning of your upkeep, you may move any number of +1/+1 counters from Scrounging Bandar onto another target creature.
423738|Secret Salvage|AER|Sorcery|R|3BB|5||||Exile target nonland card from your graveyard. Search your library for any number of cards with the same name as that card, reveal them, and put them into your hand. Then shuffle your library.
423843|Servo Schematic|AER|Artifact|U|2|2||||When Servo Schematic enters the battlefield or is put into a graveyard from the battlefield, create a 1/1 colorless Servo artifact creature token.
423711|Shielded Aether Thief|AER|Creature - Vedalken Rogue|U|1U|2|0|4||Flash (You may cast this spell any time you could cast an instant.)  Whenever Shielded Aether Thief blocks, you get E (an energy counter).  T, Pay EEE: Draw a card.
